driver_id,driver_code,first_name,last_name,licence_class,home_facility_id,carrier_id,hire_date,fatigue_accreditation,is_active
1,D00001,Elena,Ahmed,HR,50,2,2016-03-24,AFM,1
2,D00002,Nikau,Kaufusi,LR,40,1,2020-01-01,BFM,1
3,D00003,Ethan,Ferreira,HC,11,6,2016-01-04,AFM,1
4,D00004,Zoe,Costa,HC,30,2,2017-08-02,BFM,1
5,D00005,Tahlia,Murphy,HC,19,1,2018-07-15,BFM,1
6,D00006,Mateo,O'Brien,HC,9,7,2020-11-15,BFM,1
7,D00007,Priya,Chen,MC,37,3,2018-12-20,Standard,1
8,D00008,Aarav,Ferreira,MC,17,9,2020-04-13,AFM,1
9,D00009,Isla,Wilson,MR,43,1,2016-08-19,BFM,1
10,D00010,Darcy,Martin,MC,11,3,2021-02-26,Standard,1
11,D00011,Bridie,Singh,MR,49,7,2019-11-16,Standard,1
12,D00012,Chloe,Jones,MC,24,6,2021-05-07,Standard,1
13,D00013,Wei,Kaufusi,MC,16,1,2019-04-18,BFM,1
14,D00014,Olivia,Costa,HC,13,6,2021-11-23,BFM,1
15,D00015,Grace,Kumar,MC,9,6,2017-07-10,Standard,1
16,D00016,Ruby,Thompson,HC,44,10,2024-04-07,BFM,1
17,D00017,Thomas,Anderson,MC,28,1,2019-06-07,Standard,1
18,D00018,William,Taylor,MC,4,5,2017-11-17,BFM,1
19,D00019,Mei,Murphy,HC,50,7,2018-07-27,AFM,1
20,D00020,Rangi,Nguyen,HC,17,3,2023-03-15,BFM,1
21,D00021,Elena,Jones,HC,40,7,2018-05-28,BFM,1
22,D00022,Mateo,Kelly,MC,8,2,2015-03-11,Standard,1
23,D00023,Henry,Chen,HC,36,3,2023-07-06,BFM,1
24,D00024,Jack,Anderson,MC,32,2,2015-12-12,BFM,1
25,D00025,Liam,Patel,HR,5,2,2023-03-14,BFM,1
26,D00026,Elena,Taylor,HC,22,10,2022-04-09,BFM,1
27,D00027,Lucas,Murphy,HR,40,2,2015-03-18,Standard,1
28,D00028,Amelia,Kaufusi,HR,39,2,2021-01-10,BFM,1
29,D00029,Kai,Wilson,HC,5,1,2016-03-29,BFM,1
30,D00030,Henry,Rossi,MR,49,1,2018-06-02,BFM,1
31,D00031,Katya,Rahman,HR,19,9,2018-03-24,Standard,1
32,D00032,William,Nikolic,HR,29,1,2017-12-25,Standard,1
33,D00033,Isla,Tuiletufuga,HC,15,9,2015-10-15,Standard,1
